"LOCATION","Country","TL","Territory level","GEO","Geography","VAR","Variable","TIME","Time","Value","Flag Codes","Flags"
"ITA","Italy","FUA","Functional Urban Area","IT064F","Messina","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",49.7,,
"ITA","Italy","FUA","Functional Urban Area","IT027F","Padova","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",127,,
"MEX","Mexico","FUA","Functional Urban Area","MEX44F","Coatzacoalcos","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",52,,
"ESP","Spain","FUA","Functional Urban Area","ES035F","Talavera de la Reina","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",42.3,,
"TUR","Türkiye","FUA","Functional Urban Area","TR014F","Kars","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",91,,
"NOR","Norway","FUA","Functional Urban Area","NO003F","Trondheim","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",52,,
"USA","United States","FUA","Functional Urban Area","USA40F","Hartford","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",66,,
"TUR","Türkiye","FUA","Functional Urban Area","TR017F","Kocaeli","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",35.9,,
"USA","United States","FUA","Functional Urban Area","USA58F","Ventura","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",30,,
"DEU","Germany","FUA","Functional Urban Area","DE004F","Köln","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",184,,
"FIN","Finland","FUA","Functional Urban Area","FI008F","Kuopio","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",306,,
"POL","Poland","FUA","Functional Urban Area","PL064F","Włocławek","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",1093,,
"HRV","Croatia","FUA","Functional Urban Area","HR003F","Slavonski Brod","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",46.7,,
"USA","United States","FUA","Functional Urban Area","USA20F","Portland","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",58.5,,
"TUR","Türkiye","FUA","Functional Urban Area","TR001F","Ankara","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",34.1,,
"AUT","Austria","FUA","Functional Urban Area","AT004F","Salzburg","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",52.2,,
"FRA","France","FUA","Functional Urban Area","FR064F","Arras","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",161,,
"SWE","Sweden","FUA","Functional Urban Area","SE001F","Stockholm","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",60.5,,
"USA","United States","FUA","Functional Urban Area","USA33F","Jacksonville","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",55.7,,
"ITA","Italy","FUA","Functional Urban Area","IT082F","Brindisi","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",28.7,,
